method,samples,answer_correctness,answer_correctness_ci,typed_conflict_f1,typed_conflict_f1_ci,revision_accuracy,revision_accuracy_ci,overclaim_reduction,overclaim_reduction_ci,counter_evidence_recall,counter_evidence_recall_ci,unsupported_claim_rate,unsupported_claim_rate_ci
far,60,0.7973782240376361,"[0.7555, 0.8415]",0.42038216560509556,"[0.3356, 0.5000]",0.21666666666666667,"[0.1333, 0.3167]",0.0625,"[0.0000, 0.1875]",0.9833333333333333,"[0.9500, 1.0000]",0.016666666666666666,"[0.0000, 0.0500]"
minus_typed_conflict,60,0.7190478718445464,"[0.6653, 0.7715]",0.0,"[0.0000, 0.0000]",0.0,"[0.0000, 0.0000]",0.0,"[0.0000, 0.0000]",0.9833333333333333,"[0.9500, 1.0000]",0.016666666666666666,"[0.0000, 0.0500]"
minus_refutation_query,60,0.8262613305723462,"[0.7850, 0.8648]",0.4285714285714286,"[0.3439, 0.5098]",0.26666666666666666,"[0.1667, 0.3833]",0.0625,"[0.0000, 0.1875]",0.9666666666666667,"[0.9167, 1.0000]",0.016666666666666666,"[0.0000, 0.0500]"
minus_boundary_query,60,0.8013551728186074,"[0.7543, 0.8473]",0.41830065359477125,"[0.3333, 0.4969]",0.23333333333333334,"[0.1500, 0.3333]",0.0625,"[0.0000, 0.1875]",0.9833333333333333,"[0.9500, 1.0000]",0.016666666666666666,"[0.0000, 0.0500]"
minus_typed_revision,60,0.873361070934565,"[0.8552, 0.8913]",0.42307692307692313,"[0.3396, 0.5000]",0.0,"[0.0000, 0.0000]",0.0,"[0.0000, 0.0000]",0.9833333333333333,"[0.9500, 1.0000]",0.016666666666666666,"[0.0000, 0.0500]"
